feature,train_pearson_t0,train_pearson_t1,valid_pearson_t0,valid_pearson_t1,train_spearman_t0,train_spearman_t1,valid_spearman_t0,valid_spearman_t1,train_weightedcorr_t0,train_weightedcorr_t1,valid_weightedcorr_t0,valid_weightedcorr_t1,valid_abs_sum
spread_0,0.09982447634413213,0.03851899658928194,0.13601757707844234,0.039736289768616845,0.10026556221598636,0.028898874139402415,0.1508380336737847,0.04319852727946354,0.12656044042063513,0.05589764950696862,0.16015161070448106,0.04683639851948719,0.17575386684705918
spread_2,0.14486815022080823,0.0036559287934102846,0.15899508656432865,0.01392361715358631,0.17941407802118925,0.004433763530875278,0.22220836591968535,0.013879281625205952,0.10076589829258183,0.001375985644960031,0.11870806973315885,0.021223048352971337,0.17291870371791496
spread_4,-0.1029294930104076,-0.016866073264443743,-0.11834293637561015,-0.016579635144858516,-0.13719245364189725,-0.012090214833848641,-0.1618533777052787,-0.01375238590976032,-0.07984241146721718,-0.026945154466852857,-0.09997294264174608,-0.027356188634516835,0.13492257152046866
trade_intensity,0.0700658380051471,0.028494043416347183,0.07030892374925286,0.02849430260200584,0.07199176098478473,0.02546603603966949,0.07212742014733393,0.025014558765108642,0.11778856027012732,0.04517955131790441,0.11228396774993675,0.04996835561880359,0.09880322635125871
ask_pressure,0.07164741375673998,0.02843397353161873,0.06921494877948098,0.022133828022311678,0.08977231992676493,0.039127800282557655,0.08294518543702453,0.027365485752637357,0.08423408018843977,0.026698218830107596,0.08504211056360333,0.025911341582997575,0.09134877680179265
spread_1,-0.05920488036164149,-0.01623184036962764,-0.06603112320887486,-0.018286147614976118,-0.07499179186851752,-0.02249195772881666,-0.09050726976005455,-0.02826421377572719,-0.04469696105312689,0.01111289604214084,-0.05285651715749447,0.008538027958874669,0.08431727082385097
bid_pressure,-0.023345489911071386,-0.010340555726592203,-0.0377241477161007,-0.015087667762407664,-0.03671023228101322,-0.013790274619005605,-0.06367197007977941,-0.023067992054442873,-0.047034582981298395,-0.019196570373470164,-0.05672088733208903,-0.023109341284465075,0.05281181547850836
spread_5,-0.030511288869850793,-0.005466981386406381,-0.04302463336870241,-0.008795332551271207,-0.020893620963704843,-0.01685624749627793,-0.03761671571070029,-0.02074365056229062,-0.01523612272721453,0.04189181001038129,-0.023584772509204734,0.02289638312986323,0.051819965919973614
spread_3,0.026449167675901632,-0.004690593456525747,0.03602974545659913,-0.000658067385647717,0.05936223595490525,0.002828315210048633,0.07749359161490793,0.0009700359699941356,-0.03277677249950207,-0.03089222605578179,-0.010550930503878139,-0.01621851784307687,0.03668781284224685
pressure_imbalance,0.0022467537644943643,0.0021471961190404633,-0.0004945961655592751,0.0007040062831561219,0.008644093651611822,0.008216639444474254,-0.026981918528975215,-0.010732107855221286,0.001534052564348331,0.0016080296635112184,0.00022220084954921972,0.0006661930619952548,0.0011986024487153969
